first-contentful-paint,largest-contentful-paint,speed-index,total-blocking-time,server-response-time
12609.466,13734.466,12609.466,16,2393.199
12608.44,13733.44,12608.44,12,2382.552
12608.524,13733.524,12608.524,5,2329.887
12607.234,13732.234,12607.234,16,2144.37
12609.064,13734.064,12609.064,15,2199.559
12608.134,13733.134,12608.134,9,2263.881
12612.218,13737.218,12612.218,12.5,2252.1
