first-contentful-paint,largest-contentful-paint,speed-index,total-blocking-time,server-response-time
756.912,1507.812,756.912,0,8.907
758.495,1509.33,758.495,0,10.203
757.442,2010.25,757.442,0.5,11.082
757.91,1508.82,757.91,0,10.711
757.909,1809.736,757.909,14,8.569
759.181,1960.981,759.181,31,11.542
757.996,1509.046,757.996,0,9.126
