first-contentful-paint,largest-contentful-paint,speed-index,total-blocking-time,server-response-time
16660.646,17939.646,16660.646,76,286.506
16658.732,17786.732,16658.732,87,288.133
16658.482,17791.482,16658.482,74,292.314
16666.908,17796.908,16666.908,54,312.965
16669.794,17569.794,16669.794,84.5,322.934
16668.478,17796.478,16668.478,89,303.636
16666.85,17794.85,16666.85,68,314.143
