first-contentful-paint,largest-contentful-paint,speed-index,total-blocking-time,server-response-time
4816.15,5628.15,4816.15,11,163.984
4817.276,5639.276,4817.276,14,159.42
4816.56,5642.56,4816.56,1,166.721
4807.47,5628.47,4807.47,0.5,185.259
4809.762,5679.701,4809.762,7,154.534
4814.746,5636.746,4814.746,7,159.556
4807.112,5484.112,4807.112,6,149.442
