first-contentful-paint,largest-contentful-paint,speed-index,total-blocking-time,server-response-time
772.326,1522.326,772.326,9,49.496
758.116,1508.116,758.116,9,26.155
758.022,1508.022,758.022,2.5,29.837
759.112,1509.112,759.112,3,29.917
756.988,1506.988,756.988,4.5,28.623
759.274,1509.274,759.274,5.5,26.755
762.512,1512.512,762.512,2.5,27.835
