first-contentful-paint,largest-contentful-paint,speed-index,total-blocking-time,server-response-time
12164.664,13265.664,12164.664,28,621.161
12161.91,13214.28,12161.91,25.023,655.35
12159.502,12829.502,12159.502,30,659.144
12158.162,12833.162,12158.162,29,655.202
12157.772,12910.144,12157.772,44,659.174
12159.312,12911.684,12159.312,22.5,671.778
12157.964,13210.334,12157.964,15,608.864
