first-contentful-paint,largest-contentful-paint,speed-index,total-blocking-time,server-response-time
918.538,6092.54,918.538,128.591,17.333
913.406,6186.577,913.406,73.5,14.124
913.774,6194.585,913.774,100,11.695
912.832,6196.255,912.832,101,15.928
915.402,6052.22,915.402,71.5,13.47
913.286,6203.862,913.286,73,14.047
912.428,6199.302,912.428,64.5,13.658
