first-contentful-paint,largest-contentful-paint,speed-index,total-blocking-time,server-response-time
12608.566,13733.566,12608.566,24,2265.446
12613.44,13738.44,12613.44,15.5,2366.54
12608.764,13733.764,12608.764,14,2281.176
12607.808,13732.808,12607.808,17,2257.414
12629.14,13754.14,12629.14,7.5,2152.661
12626.436,13751.436,12626.436,11,2165.124
12609.204,13584.204,12609.204,13,2290.554
